source,target,weight
OKITIM02,OKITIM01,0.9999999987550672
OKITIM01,OKITIM02,0.9999999987550672
OWIJIP,OWIJOV,0.9999999987424494
OWIJOV,OWIJIP,0.9999999987424494
SATNOR01,SATNOR,0.9999999987216754
SATNOR,SATNOR01,0.9999999987216754
UFOSEQ,SURHEU02,0.9999999987169284
SURHEU02,UFOSEQ,0.9999999987169284
DOTSOV28,DOTSOV36,0.9999999986972632
DOTSOV36,DOTSOV28,0.9999999986972632
OTEGOL01,OWIHUZ,0.9999999986854315
OWIHUZ,OTEGOL01,0.9999999986854315
OWIJIP,OWIJEL,0.9999999986536896
OWIJEL,OWIJIP,0.9999999986536896
DADTOS11,DADTOS04,0.999999998652032
DADTOS04,DADTOS11,0.999999998652032
KEPNAX05,KEPMUQ,0.99999999861882
KEPMUQ,KEPNAX05,0.99999999861882
VIFPUY02,VIFPUY05,0.9999999986025856
VIFPUY05,VIFPUY02,0.9999999986025856
PUZLAZ,SOMFIK,0.9999999985909552
SOMFIK,PUZLAZ,0.9999999985909552
DOTSOV23,DOTSOV20,0.9999999985730216
DOTSOV20,DOTSOV23,0.9999999985730216
VAZTOG,LAWFOF,0.9999999985394712
LAWFOF,VAZTOG,0.9999999985394712
DOTSOV18,DOTSOV17,0.9999999985076448
DOTSOV17,DOTSOV18,0.9999999985076448
COKNIB02,OZUMIH,0.9999999984809952
OZUMIH,COKNIB02,0.9999999984809952
WIZMAV10,WIZMAV09,0.9999999984511716
WIZMAV09,WIZMAV10,0.9999999984511716
KAHMOW,OVIHOR02,0.999999998434224
OVIHOR02,KAHMOW,0.999999998434224
MINLON,YESYIH,0.9999999984198904
YESYIH,MINLON,0.9999999984198904
PEGBEK01,PEGBEK03,0.9999999984037696
PEGBEK03,PEGBEK01,0.9999999984037696
SIWPUL03,SIWPUL09,0.9999999983812616
SIWPUL09,SIWPUL03,0.9999999983812616
DOTSOV19,DOTSOV22,0.9999999983654608
DOTSOV22,DOTSOV19,0.9999999983654608
DOTSOV29,DOTSOV30,0.9999999983407376
DOTSOV30,DOTSOV29,0.9999999983407376
WIZMAV04,WIZMAV11,0.9999999983008406
WIZMAV11,WIZMAV04,0.9999999983008406
HAJDII,NEQTIP,0.9999999982909586
NEQTIP,HAJDII,0.9999999982909586
NIWPIU,NIWZIE16,0.9999999982524852
NIWZIE16,NIWPIU,0.9999999982524852
CAYDIR,CAYDUD,0.9999999982460616
CAYDUD,CAYDIR,0.9999999982460616
NODTOR,VAZTUM,0.9999999982326568
VAZTUM,NODTOR,0.9999999982326568
WIZMAV07,WIZMAV,0.9999999982231252
WIZMAV,WIZMAV07,0.9999999982231252
RUBTAK07,RUBTAK05,0.9999999982117412
RUBTAK05,RUBTAK07,0.9999999982117412
NUQWAZ03,NURHIT,0.99999999820249
NURHIT,NUQWAZ03,0.99999999820249
XIZDAN,XIZDIV,0.9999999982020684
XIZDIV,XIZDAN,0.9999999982020684
LAWFOF,LAWFUL,0.9999999981851382
LAWFUL,LAWFOF,0.9999999981851382
NIWZIE17,NIWPIU,0.9999999981260096
NIWPIU,NIWZIE17,0.9999999981260096
XAPCOJ,TIKTAL,0.9999999981251692
TIKTAL,XAPCOJ,0.9999999981251692
CAYDOX,CAYDOX03,0.9999999981148034
CAYDOX03,CAYDOX,0.9999999981148034
NEXVET,MIBQAR03,0.9999999981115196
MIBQAR03,NEXVET,0.9999999981115196
QOWRAV11,QOWRAV09,0.999999998072716
QOWRAV09,QOWRAV11,0.999999998072716
TACPAP,TACPET,0.999999998071726
TACPET,TACPAP,0.999999998071726
DADTOS05,DADTOS09,0.9999999980709606
DADTOS09,DADTOS05,0.9999999980709606
MOFGOE,MOBDIR,0.999999998049698
MOBDIR,MOFGOE,0.999999998049698
COKMIA,SATNOR,0.9999999980175244
SATNOR,COKMIA,0.9999999980175244
WIZMAV08,WIZMAV11,0.9999999980144424
WIZMAV11,WIZMAV08,0.9999999980144424
NIRZAQ,MIBQAR19,0.999999998001142
MIBQAR19,NIRZAQ,0.999999998001142
FAPYEA08,FAPYEA21,0.9999999979825316
FAPYEA21,FAPYEA08,0.9999999979825316
WIZMAV11,WIZMAV09,0.9999999979696388
WIZMAV09,WIZMAV11,0.9999999979696388
DADTOS08,DADTOS09,0.9999999979656335
DADTOS09,DADTOS08,0.9999999979656335
SURHEU,SURHEU01,0.9999999979628096
SURHEU01,SURHEU,0.9999999979628096
SICQUT,VAMRAF,0.9999999979018646
VAMRAF,SICQUT,0.9999999979018646
SURHEU02,UFOSOA,0.9999999978625488
UFOSOA,SURHEU02,0.9999999978625488
DOTSOV19,DOTSOV05,0.9999999978548916
DOTSOV05,DOTSOV19,0.9999999978548916
XAPCOJ,FAPXIG,0.9999999978349204
FAPXIG,XAPCOJ,0.9999999978349204
TUDJUY,NIFTAA,0.9999999978090832
NIFTAA,TUDJUY,0.9999999978090832
WIZMAV06,WIZMAV05,0.9999999977758098
WIZMAV05,WIZMAV06,0.9999999977758098
DOTSOV12,DOTSOV18,0.9999999977556092
DOTSOV18,DOTSOV12,0.9999999977556092
DOTSOV06,DOTSOV17,0.9999999977078152
DOTSOV17,DOTSOV06,0.9999999977078152
DULVEM02,DULVEM,0.999999997687434
DULVEM,DULVEM02,0.999999997687434
DADTUY07,DADTUY09,0.999999997675344
DADTUY09,DADTUY07,0.999999997675344
SAHYOQ03,SAHYOQ,0.9999999976307976
SAHYOQ,SAHYOQ03,0.9999999976307976
IZAKUR,JEXXAM02,0.9999999975798328
JEXXAM02,IZAKUR,0.9999999975798328
KENSEE03,KEPFIX01,0.9999999975795812
KEPFIX01,KENSEE03,0.9999999975795812
PADKIP20,PADKIP18,0.9999999975662888
PADKIP18,PADKIP20,0.9999999975662888
ROLCEC,ROLCEC13,0.9999999975389606
ROLCEC13,ROLCEC,0.9999999975389606
PASGEX03,PASGEX04,0.9999999974965476
PASGEX04,PASGEX03,0.9999999974965476
SIWPUL03,NURFUD,0.999999997476259
NURFUD,SIWPUL03,0.999999997476259
DOTSOV33,DOTSOV01,0.9999999974739002
DOTSOV01,DOTSOV33,0.9999999974739002
ROLCEC11,ROLCEC09,0.9999999974570726
ROLCEC09,ROLCEC11,0.9999999974570726
DOTSOV43,DOTSOV17,0.9999999974531468
DOTSOV17,DOTSOV43,0.9999999974531468
OWIHUZ,OWIHEJ,0.9999999974208876
OWIHEJ,OWIHUZ,0.9999999974208876
NAXVOY03,NAXVOY01,0.999999997408552
NAXVOY01,NAXVOY03,0.999999997408552
DOTSOV30,DOTSOV27,0.9999999973983048
DOTSOV27,DOTSOV30,0.9999999973983048
IXOFUX,IXOFUX01,0.9999999973919438
IXOFUX01,IXOFUX,0.9999999973919438
WIZMAV10,WIZMAV,0.9999999973818254
WIZMAV,WIZMAV10,0.9999999973818254
KEPFIX,KEPFIX01,0.9999999973268004
KEPFIX01,KEPFIX,0.9999999973268004
QOWRAV05,QOWRAV04,0.999999997311566
QOWRAV04,QOWRAV05,0.999999997311566
VEGMOK03,GATBUZ,0.9999999972822676
GATBUZ,VEGMOK03,0.9999999972822676
NUQWAZ07,PADKIP19,0.9999999972507742
PADKIP19,NUQWAZ07,0.9999999972507742
RUBTAK03,UFOSOA,0.9999999972161948
UFOSOA,RUBTAK03,0.9999999972161948
LATFUI,NEXVET,0.99999999715933
NEXVET,LATFUI,0.99999999715933
NUDNUW06,APOGOD,0.9999999971441706
APOGOD,NUDNUW06,0.9999999971441706
BEPPOD,IBICON,0.9999999971060204
IBICON,BEPPOD,0.9999999971060204
OKIWEL,OKIYIR,0.9999999971030548
OKIYIR,OKIWEL,0.9999999971030548
YUKVUW06,YUKVUW07,0.9999999970216554
YUKVUW07,YUKVUW06,0.9999999970216554
MIFQIE,YEXCOW,0.999999997005664
YEXCOW,MIFQIE,0.999999997005664
CAJHUS04,CAJHUS03,0.99999999698273
CAJHUS03,CAJHUS04,0.99999999698273
DADTOS12,DIDVIW,0.9999999969734198
DIDVIW,DADTOS12,0.9999999969734198
OLOPUC,WIZDEP,0.999999996972901
WIZDEP,OLOPUC,0.999999996972901
IBICAZ,IBICUT,0.9999999969318218
IBICUT,IBICAZ,0.9999999969318218
DOTSOV09,DOTSOV17,0.999999996921674
DOTSOV17,DOTSOV09,0.999999996921674
NIRZAQ,VUSKAW,0.9999999969074294
VUSKAW,NIRZAQ,0.9999999969074294
DOTSOV01,DOTSOV38,0.9999999968654444
DOTSOV38,DOTSOV01,0.9999999968654444
DOTSOV09,DOTSOV14,0.9999999968285492
DOTSOV14,DOTSOV09,0.9999999968285492
SAHYAD,OKIWUB02,0.999999996809865
OKIWUB02,SAHYAD,0.999999996809865
DOTSOV08,DOTSOV11,0.9999999967546486
DOTSOV11,DOTSOV08,0.9999999967546486
RUBTAK09,RUBTAK07,0.9999999967411628
RUBTAK07,RUBTAK09,0.9999999967411628
PADKIP12,PADKIP13,0.9999999967278904
PADKIP13,PADKIP12,0.9999999967278904
EQUCUO01,EQUCUO10,0.999999996698823
EQUCUO10,EQUCUO01,0.999999996698823
DOTSOV16,DOTSOV11,0.99999999669427
DOTSOV11,DOTSOV16,0.99999999669427
WULKAQ,DOTSOV20,0.9999999966854572
DOTSOV20,WULKAQ,0.9999999966854572
DOTSOV30,DOTSOV24,0.9999999966801396
DOTSOV24,DOTSOV30,0.9999999966801396
UFOSOA,SURHEU03,0.999999996635914
SURHEU03,UFOSOA,0.999999996635914
XEGWIS,OVIHOR02,0.9999999966284948
OVIHOR02,XEGWIS,0.9999999966284948
QOWRAV03,QOWRAV02,0.9999999966240452
QOWRAV02,QOWRAV03,0.9999999966240452
TUDJUY,NIFPOK,0.9999999966187696
NIFPOK,TUDJUY,0.9999999966187696
COKNIB01,OZUMIH,0.999999996600946
OZUMIH,COKNIB01,0.999999996600946
NUDPAE01,NUDPAE02,0.9999999965940184
NUDPAE02,NUDPAE01,0.9999999965940184
DADTOS01,DADTOS04,0.99999999658552
DADTOS04,DADTOS01,0.99999999658552
IBICED,BEPPOD,0.9999999965767984
BEPPOD,IBICED,0.9999999965767984
KEPFIX04,KEPFIX01,0.99999999657147
KEPFIX01,KEPFIX04,0.99999999657147
RUBTAK07,RUBTAK04,0.999999996528699
RUBTAK04,RUBTAK07,0.999999996528699
DOTSOV28,DOTSOV27,0.999999996528576
DOTSOV27,DOTSOV28,0.999999996528576
QOWRAV12,QOWRAV08,0.9999999964722536
QOWRAV08,QOWRAV12,0.9999999964722536
NOKLIJ,AQUDIB,0.9999999964468196
AQUDIB,NOKLIJ,0.9999999964468196
DOTSOV08,DOTSOV13,0.9999999964089992
DOTSOV13,DOTSOV08,0.9999999964089992
NUDNEH,NUDMUW01,0.9999999963971168
NUDMUW01,NUDNEH,0.9999999963971168
SOMFIK,SOKKUZ,0.9999999963847576
SOKKUZ,SOMFIK,0.9999999963847576
SURLEY,UFOSOA,0.99999999637869
UFOSOA,SURLEY,0.99999999637869
SAHYOQ02,LAWGAS,0.9999999963716611
LAWGAS,SAHYOQ02,0.9999999963716611
KOSKIO01,KOSJUZ,0.9999999963547512
KOSJUZ,KOSKIO01,0.9999999963547512
DOTSOV16,DOTSOV13,0.999999996345504
DOTSOV13,DOTSOV16,0.999999996345504
DADTUY12,DADTUY05,0.9999999963442396
DADTUY05,DADTUY12,0.9999999963442396
CUFFOZ,CUFFEP,0.9999999963143392
CUFFEP,CUFFOZ,0.9999999963143392
NEVSUF09,NEVSUF06,0.9999999962771432
NEVSUF06,NEVSUF09,0.9999999962771432
WOBHIF02,WOBHOL,0.999999996257913
WOBHOL,WOBHIF02,0.999999996257913
XAPCOJ,TIKTUF,0.9999999962385264
TIKTUF,XAPCOJ,0.9999999962385264
ROLCEC18,ROLCEC19,0.9999999962069576
ROLCEC19,ROLCEC18,0.9999999962069576
PADKIP13,PADKIP14,0.9999999962019662
PADKIP14,PADKIP13,0.9999999962019662
DOTSOV04,DOTSOV19,0.9999999961912576
DOTSOV19,DOTSOV04,0.9999999961912576
HIFTOG03,NEXVET,0.999999996152074
NEXVET,HIFTOG03,0.999999996152074
MAGVOG21,MAGVOG20,0.9999999961372964
MAGVOG20,MAGVOG21,0.9999999961372964
EGELUY,EGELIM,0.9999999961217344
EGELIM,EGELUY,0.9999999961217344
WAQDOK01,WAQDOK,0.9999999960687168
WAQDOK,WAQDOK01,0.9999999960687168
DADTOS06,DIDVIW,0.9999999960099878
DIDVIW,DADTOS06,0.9999999960099878
KESFUM,UXIQOJ,0.999999995988504
UXIQOJ,KESFUM,0.999999995988504
CUFDOX,TIKXAN,0.9999999959821976
