refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere,category,Gravity,Degree_Centrality,Betweenness_Centrality,Edge_Weight_Sum,Community_ID
ODEZAB,COc1ccc2c(c1c1cc(cc(c1)C(=O)O)C(=O)O)ccc(c2c1cc(cc(c1)C(=O)O)C(=O)O)OC,Cu,7.16678,4.44098,7.16678,medium pore,0.15597263465237793,0.13245033112582782,0.00015822475662782959,98.6109929225908,1
ODIVUT,OC(=O)c1ccc(cc1)Cn1ncnc1,Co,1.93697,1.26338,1.93697,nonporous,0.11315705329449914,0.029239766081871343,0.007889255389774901,16.341540149049152,55
ODIXAC,OC(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Cd,5.23176,2.89974,5.23082,small pore,0.31860294394014677,0.2185185185185185,0.0004444495834836171,148.00516300744766,69
ODIXIK,OC(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Cd,6.69453,4.36853,6.68555,medium pore,0.316917173176311,0.21728395061728395,0.00043949027909990124,147.29352134221102,69
ODIZOQ,OC(=O)/C=C/c1ccncc1,Co,2.80286,1.94855,2.79701,nonporous,0.1329666407552694,0.06432748538011696,0.004349484246876019,36.968068377223396,55
ODIZOQ01,OC(=O)/C=C/c1ccncc1,Co,2.83947,1.92426,2.7932,nonporous,0.13296909851601252,0.06432748538011696,0.004349484246876019,36.96975641351471,55
ODODIW,OC(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Zn,5.90022,4.2544,5.90022,medium pore,0.7562447379223793,0.35669920141969835,0.000393884511081307,339.5480971911529,3
ODODOC,OC(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Cd,4.79419,2.78432,4.79419,small pore,0.10790176592207859,0.21975308641975308,0.0004486255272992253,148.84375958813266,69
ODOJUN,OP(=O)(CCP(=O)(O)O)O,Zn,4.354,1.96936,4.354,nonporous,0.6418186464316653,0.3918918918918919,0.042397877329384166,26.134800562431344,116
ODOMIF,OC(=O)c1ccc(c2c1cccc2)C(=O)O,Mn,4.61212,3.63133,4.60194,small pore,0.16332142787942872,0.03549060542797494,0.0011805328129647847,14.957733998122698,225
ODOXEK,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cd,5.23075,4.24424,5.23075,medium pore,0.6771341105824882,0.408641975308642,0.007679688705657743,282.5388108240698,69
ODUNEH,OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O,Zn,6.66145,4.5555,6.66145,medium pore,0.32361710389489606,0.5244010647737356,0.0024231938294748804,513.9101892066768,3
OFACEF,n1ccc(cc1)N(c1ccncc1)c1ccc(cc1)N(c1ccncc1)c1ccncc1,Cu,2.00613,1.09528,1.95996,nonporous,0.20946832115470843,0.1085972850678733,0.01210097375361471,19.553926999652013,56
OFAWAV,OC(=O)c1ccc2c(c1)ccc(c2)C(=O)O,Hf,9.73043,7.93976,9.71718,medium pore,0.32323767961825056,0.41666666666666663,0.0030193236714975845,8.509552866761117,689
OFEGOX,Cc1ccc(cc1)c1nc(c([nH]1)C(=O)O)C(=O)O,Pb,2.878,1.69473,2.86194,nonporous,0.5288551306011324,0.8333333333333333,0.03333333333333333,4.358067284225192,258
OFEHAK,Cc1ccc(cc1)C1=N[C@H](C(=N1)C(=O)O)C(=O)O,Cd,6.57236,3.91621,6.57236,small pore,0.18486042467101377,0.007407407407407408,0.0,5.232741685856861,69
OFEREX,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Eu,5.9722,5.55607,5.9722,medium pore,0.7956173945942946,0.4858299595141701,0.05365583005398887,102.76451010269918,12
OFERUN,Cc1ncc[nH]1,Zn,11.50831,3.42476,11.50831,small pore,0.8153079390144811,0.967741935483871,0.0030624534388848813,81.48295285033502,353
OFERUN01,Cc1ncc[nH]1,Zn,2.41475,1.57523,2.40073,nonporous,0.8152585663982697,0.9784946236559141,0.007562219684794187,81.88092685124263,353
OFERUN02,[C]c1ncc[nH]1,Zn,11.41874,3.39702,11.41874,small pore,0.815305042062259,0.7634408602150539,0.0005373176636835152,61.63329248984276,353
OFERUN03,Cc1ncc[nH]1,Zn,11.45029,3.4036,11.45029,small pore,0.8152405813249675,0.967741935483871,0.0030624534388848813,81.48277651642623,353
OFERUN09,[C]c1ncc[nH]1,Zn,11.39037,3.50747,11.39037,small pore,0.5444442809111346,0.7634408602150539,0.0005373176636835152,61.63548544598455,353
OFIDOX,OC(=O)CCCC(=O)O,Pb,1.45491,0.86053,1.44635,nonporous,0.15679914226583228,0.11464968152866242,0.020172573357286762,15.895353578008852,127
OFIDUD,OC(=O)CCCCC(=O)O,Pb,1.53123,0.94257,1.42333,nonporous,0.1354546833753395,0.10191082802547771,0.012180848168109274,14.777384812354587,127
OFIFIV,OC(=O)c1cc(cc(c1)C(=O)O)c1ccc(c(c1)N)c1cc(cc(c1)C(=O)O)C(=O)O,Co,4.84652,3.796,4.84652,small pore,0.11810759509630203,0.08187134502923976,1.4710262101015118e-05,46.522907124179625,55
OFIVAA,OP(=O)(CCCP(=O)(O)O)O,V,4.3121,2.32699,4.3121,nonporous,0.39931886787239784,1.0,0.0,16.417790304287028,382
OFIXOR,OC(=O)c1ccc2c(c1)cccn2,Zn,2.1745,1.42135,2.1745,nonporous,0.3658837561743089,0.12156166814551908,0.001352051511171274,111.10639529748988,3
OFIYUY,Sc1ccncc1,Cu,1.67249,1.15413,1.65947,nonporous,0.13896912379328685,0.11764705882352942,0.0,22.501299075887218,56
OFIZAF,Sc1ccncc1,Cu,1.71996,1.20738,1.69492,nonporous,0.1389671600192206,0.11764705882352942,0.0,22.500765838794447,56
OFOCUI,OC(=O)c1cc(NNc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O,Cu,11.38173,4.29278,10.30775,medium pore,0.3152818562555418,0.25496688741721857,0.0023225936983176606,198.00510962802002,1
OFODAP,OC(=O)c1cc(/N=N/c2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O,Cd,5.28051,4.41195,5.15702,medium pore,0.19733268156042072,0.12839506172839507,9.934896355355445e-05,88.52677259061319,69
OFODET,OC(=O)c1cc(NNc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O,Mn,2.25048,1.1295,2.14662,nonporous,0.4517172981937413,0.17954070981210854,0.00044778226370878504,73.4022405803878,225
OFOJAX,OC(=O)c1ccc(cc1)c1c(c2ccc(cc2)C(=O)O)c(c2ccc(cc2)C(=O)O)c(c(c1c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Zr,22.61403,21.41107,22.44468,large pore,0.5646462400799308,0.747191011235955,0.002411692616723623,116.86642715333055,143
OFOJEB,OC(c1ccc(cc1)c1c(c2ccc(cc2)C(=O)O)c(c2ccc(cc2)C(=O)O)c(c(c1c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O)O,Zr,8.3778,6.93758,8.36516,medium pore,0.38867740734577794,0.5393258426966292,0.0005248755693760779,80.21277584790546,143
